id,MAC,SSID,timestamp,hash,rssi,sn,htci
1,FF-70-F3-39-C1-3C,mbrien0,600055,174a4ee4026a1b7cdd3734cea3500c8e5c5a3acb,-76,599,CDF
3,3A-32-6B-3A-DE-D5,fstollmeier1,600092,147fa531ea13cdbebcbb1fd1dda42e6bf33b7454,-52,1099,IDR
2,11-F1-1C-A2-CD-E8,ijanaud2,600081,43713e9eae70eeacffd91f5197d852804f8b507e,-90,482,CNY
1,34-F1-6A-DC-77-91,kescott3,600015,1840ae3253265e2d36040cb67436d45f957cb2bb,-87,392,COP
3,AF-54-83-0E-4D-F8,bwarters4,600054,7a1063d6d49b36e6c12b3b4b9ebbb464cad5204c,-65,798,PLN
3,57-73-48-7B-C5-36,psproson5,600069,87dcde9f9dcca74d33a065cea2fbc8aa091f293f,-88,151,CNY
3,49-FA-04-1E-4C-47,lroycroft6,600064,8b2e1cf64f8bb66c7a057a8579b2f732dab2311b,-60,625,ARS
3,A8-F8-D8-FD-AB-FA,bpeckham7,600063,8356af4ec1732fd09d32d6831b82c5a8834a4f48,-72,928,BRL
3,68-FC-34-54-24-43,bmylchreest8,600067,e730afe554327a7090a0a63fe7be7819fcb7660f,-69,655,CAD
1,44-21-C3-6F-58-F8,mbyfford9,600083,9456c3f5a1cff903bb76a3926f0c8fed332c0a52,-52,715,MAD
3,66-AF-99-BA-7B-17,rlowena,600009,a5b8e005dc0f2d324b6de4ec0c82f40917512a78,-79,790,USD
1,41-6A-4F-DF-6F-3A,ipurkissb,600094,dbf53e908f7819a7be76015b71c03cbb34f27e60,-46,509,CNY
3,11-FD-E9-34-90-60,lossultonc,600112,e82293610b4d165a84d3e164cba31cb662be324d,-48,644,AFN
1,73-3E-D8-2D-A6-F3,njachtymd,600113,bcb65ab52ea16355fdaad9034c0fa461cfebe737,-90,958,IDR
1,67-F2-CB-0D-4D-9A,acamamille,600011,a1d59925c4f669fe52660715b29c90ef1cd1404a,-83,455,ALL
3,59-9E-D5-C3-36-46,croomef,600110,e4103317bd4a4a4af20a7eb56fbe2bcfa4f03bdf,-68,805,PLN
3,69-5E-D4-C2-C0-C3,jdelaneyg,600003,59ab02d8f41cfc0a73e6de57768534c0e16430b9,-64,280,CNY
1,36-E2-77-C2-9F-9B,mbellengerh,600017,8443000df406bbbf49ad19d5138f4936e535efd3,-83,826,ARS
2,E0-6B-6B-99-E4-44,ddourini,600105,04df811d92c420cece3a3a7a948d3a38b471f914,-81,703,PLN
2,67-E4-A3-41-1D-2E,pbleesj,600041,1b2add2b9aa2a2272478d3f1375abccdd5c922be,-48,838,UAH
3,AA-F6-06-43-36-7E,tkemeryk,600099,20356f5ad2f743a22fbaa0c5a8440b8a3886d6b3,-41,268,IDR
1,8D-15-E4-14-F4-81,csteffansl,600045,c8a37d0d92338d375f792ccba3f63be35e2a7417,-47,518,PLN
1,39-2C-21-38-17-41,gwedmorem,600009,d187c436ada6f4c3be22014a3c8e95fde1b85a63,-68,549,MNT
3,48-81-F0-ED-B5-88,apudenn,600041,027ee8fe8f2ac49aea54f93267077faeeb1c0506,-80,148,CNY
1,F3-D0-4E-E5-C9-D5,wivakhnovo,600024,979d491f24e249de4cee6a1b7eb61cc1650f88b2,-75,306,VND
1,EA-F0-7A-52-46-31,abrogip,600061,d473e73e0b528f57a1d33a042e91685c249fdccf,-48,952,BRL
2,4A-ED-23-BA-65-1F,wravelq,600006,feeca89b8c16a2c132e1acea5a02217989aee4b7,-78,441,CNY
2,6B-59-5C-95-B6-37,tausherr,600107,6b88df4ef49b41735a5cada36971d06e14bd0f2e,-47,682,JMD
3,0C-65-12-83-AB-35,tmacparlans,600097,81e124f27ff94202e19f880f71c651202cb44123,-61,932,EUR
